customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-10681,Male,0,Yes,No,24.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,80.04,1900.19,No
CUST-10024,Female,0,Yes,No,35.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,42.99,1539.83,No
CUST-10621,Male,0,Yes,No,68.0,Yes,DSL,Month-to-month,Yes,Electronic check,79.31,5401.35,Yes
CUST-10099,Male,0,Yes,Yes,18.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,113.02,2022.8,No
CUST-10284,Male,1,Yes,Yes,34.0,Yes,No,Month-to-month,No,Electronic check,28.78,966.99,Yes
CUST-10691,Female,0,No,No,49.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,51.32,2502.45,No
CUST-10744,Female,0,Yes,No,63.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,75.87,4776.31,No
CUST-10308,Male,0,Yes,No,,No,Fiber optic,Month-to-month,Yes,Mailed check,55.82,1554.02,Yes
CUST-10769,male,0,Yes,No,14.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,26.06,312.41,Yes
CUST-10435,Male,0,No,No,0.0,Yes,DSL,One year,No,Credit card,97.97,0.0,No
CUST-10926,Female,0,No,No,28.0,Yes,No,Month-to-month,No,Credit card,94.37,2606.87,Yes
CUST-10163,Male,0,yes,No,8.0,Yes,DSL,Month-to-month,No,Credit card,40.68,342.69,No
CUST-10232,Male,0,No,Yes,11.0,Yes,DSL,One year,No,Mailed check,112.24,1277.27,No
CUST-10942,Female,0,No,No,36.0,Yes,No,Two year,No,Electronic check,25.03,876.7,No
CUST-10918,Male,1,Yes,Yes,5.0,Yes,DSL,Two year,Yes,Mailed check,106.49,518.42,Yes
CUST-10168,Male,0,No,No,59.0,Yes,No,One year,Yes,Mailed check,38.65,2276.75,No
CUST-10957,Female,0,No,Yes,68.0,Yes,Fiber optic,One year,No,Credit card,84.36,5720.42,No
CUST-10659,Male,0,Yes,Yes,16.0,Yes,DSL,Two year,Yes,Electronic check,61.42,965.0,No
CUST-10365,F,1,No,No,35.0,Yes,DSL,Month-to-month,Yes,Mailed check,118.1,4137.52,Yes
CUST-10256,Female,0,Yes,No,45.0,Yes,Fiber optic,Month-to-month,No,Credit card,96.22,,No
CUST-10153,Male,0,No,No,24.0,Yes,DSL,Month-to-month,Yes,Credit card,108.34,2631.99,No
CUST-10916,Female,0,Yes,Yes,2.0,Yes,DSL,Month-to-month,Y,Mailed check,72.61,152.34,No
CUST-10685,Female,0,Yes,No,11.0,Yes,No,One year,Yes,Electronic check,31.0,335.64,Yes
CUST-10725,Male,1,No,No,42.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,112.39,4663.79,No
CUST-10989,Female,0,Yes,No,9.0,Yes,Fiber optic,Two year,Yes,Electronic check,57.43,,No
CUST-10297,Male,0,No,Yes,62.0,Yes,Fiber optic,Two year,Yes,Mailed check,46.33,2860.67,Yes
CUST-10094,female,0,No,No,22.0,Yes,DSL,One year,No,Mailed check,22.55,505.97,No
CUST-10878,Female,0,Yes,No,43.0,Yes,DSL,Month-to-month,Yes,Electronic check,35.54,1541.28,No
CUST-10060,Female,0,Yes,No,34.0,Yes,No,Two year,Yes,Bank transfer,83.92,2877.96,No
CUST-10009,Male,0,No,No,6.0,Yes,DSL,One year,Yes,Bank transfer,77.97,460.84,No
CUST-10755,Male,1,Yes,No,66.0,Yes,No,Two year,Yes,Credit card,42.28,2810.19,Yes
CUST-10785,Female,1,No,No,71.0,Yes,DSL,One year,No,Electronic check,41.57,2964.93,No
CUST-10736,Female,0,Yes,Yes,29.0,Yes,DSL,Month-to-month,Yes,Credit card,72.82,2110.2,No
CUST-10025,Female,0,No,No,55.0,Yes,Fiber optic,Two year,No,Electronic check,67.69,3713.97,No
CUST-10850,Female,0,No,No,25.0,Yes,No,One year,Yes,Electronic check,57.88,,No
CUST-10357,Female,1,No,No,0.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,29.78,0.0,Yes
CUST-10674,Female,0,No,No,41.0,Yes,DSL,Month-to-month,Yes,Mailed check,30.99,1241.91,No
CUST-10228,F,0,No,Yes,0.0,Yes,Fiber optic,Two year,No,Mailed check,114.84,,Yes
CUST-10500,Male,0,Yes,Yes,8.0,Yes,DSL,Month-to-month,no,Mailed check,19.87,145.24,Yes
CUST-10498,Female,1,Yes,No,22.0,Yes,Fiber optic,Two year,No,Bank transfer,74.78,1660.45,Yes
CUST-10577,Female,0,No,No,6.0,Yes,DSL,Month-to-month,No,Bank transfer,44.52,293.85,No
CUST-10875,Female,0,No,Yes,,Yes,Fiber optic,Month-to-month,Yes,Electronic check,49.04,1133.34,No
CUST-10138,Male,0,Yes,No,4.0,Yes,DSL,Month-to-month,No,Mailed check,96.52,380.19,No
CUST-10171,Male,0,No,Yes,23.0,Yes,DSL,Two year,Yes,Mailed check,88.38,2040.02,No
CUST-10793,Female,0,No,No,5.0,Yes,Fiber optic,Two year,Yes,Bank transfer,93.92,439.51,No
CUST-10917,Female,0,No,No,1.0,Yes,No,Month-to-month,No,Electronic check,40.38,36.24,Yes
CUST-10013,Female,0,No,No,43.0,No,DSL,Month-to-month,No,Credit card,54.87,2352.39,Yes
CUST-10423,Female,0,Yes,Yes,51.0,No,No,Month-to-month,Yes,Credit card,116.6, 5970.64,No
CUST-10682,Female,0,Yes,Yes,54.0,Yes,DSL,Two year,No,Mailed check,97.24,5254.33,No
CUST-10216,Male,0,Yes,Yes,32.0,Yes,DSL,Two year,No,Mailed check,104.9,3366.48,No
CUST-10734,male,0,Yes,Yes,24.0,Yes,Fiber optic,Month-to-month,No,Credit card,95.85,2295.78,No
CUST-10108,Male,0,No,No,44.0,Yes,DSL,Month-to-month,Yes,Bank transfer,79.29,3486.55,No
CUST-10547,Female,0,No,Yes,51.0,Yes,No,Month-to-month,Yes,Credit card,74.21,3767.13,No
CUST-10113,Male,1,No,No,45.0,Yes,Fiber optic,One year,Yes,Mailed check,92.23,4161.65,No
CUST-10964,Female,0,Yes,Yes,5.0,Yes,DSL,One year,No,Mailed check,55.6,253.41,No
CUST-10437,Female,0,No,No,20.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,99.46,1972.85,No
